Method;LOC;CC;NP;NV;NEST;Ca;Ce;NChg;NCall
ShareX.HelpersLib.MyColor.CMYKUpdate();2.0;1.0;0;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.MyColor.ToString();1.0;1.0;0;1.0;0.0;0;14;1.0;0.0
ShareX.HelpersLib.MyColor.GetHashCode();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.MyColor.Equals(Object);1.0;1.0;1;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.RGBA.RGBA(Int32,Int32,Int32,Int32);5.0;1.0;4;0.0;0.0;7;4;2.0;0.0
ShareX.HelpersLib.RGBA.RGBA(Color);1.0;1.0;1;0.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.RGBA.ToString();1.0;1.0;0;1.0;0.0;0;4;3.0;0.0
ShareX.HelpersLib.RGBA.ToColor();1.0;1.0;0;1.0;0.0;1;4;1.0;934.0
ShareX.HelpersLib.RGBA.ToHex(ColorFormat);1.0;1.0;1;1.0;0.0;0;2;1.0;0.0
ShareX.HelpersLib.RGBA.ToDecimal(ColorFormat);1.0;1.0;1;1.0;0.0;0;2;1.0;0.0
ShareX.HelpersLib.RGBA.ToHSB();1.0;1.0;0;1.0;0.0;1;2;1.0;0.0
ShareX.HelpersLib.RGBA.ToCMYK();1.0;1.0;0;1.0;0.0;1;2;1.0;0.0
ShareX.HelpersLib.RGBA.GetHashCode();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.RGBA.Equals(Object);1.0;1.0;1;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.BlackStyleForm.BlackStyleForm();2.0;1.0;0;0.0;0.0;3;1;1.0;0.0
ShareX.HelpersLib.BlackStyleForm.OnPaint(PaintEventArgs);6.0;2.0;1;5.0;3.0;0;1;2.0;12.0
ShareX.HelpersLib.DoubleLabeledNumericUpDown.DoubleLabeledNumericUpDown();5.0;1.0;0;0.0;0.0;1;2;2.0;6.0
ShareX.HelpersLib.DoubleLabeledNumericUpDown.OnValueChanged(Object,EventArgs);2.0;2.0;2;1.0;1.0;1;0;1.0;24.0
ShareX.HelpersLib.DoubleLabeledNumericUpDown.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;6.0
ShareX.HelpersLib.DoubleLabeledNumericUpDown.InitializeComponent();63.0;1.0;0;0.0;0.0;1;0;1.0;6.0
ShareX.HelpersLib.LabeledNumericUpDown.LabeledNumericUpDown();4.0;1.0;0;0.0;0.0;1;2;1.0;119.0
ShareX.HelpersLib.LabeledNumericUpDown.OnValueChanged(Object,EventArgs);2.0;2.0;2;1.0;1.0;1;0;1.0;190.0
ShareX.HelpersLib.LabeledNumericUpDown.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;119.0
ShareX.HelpersLib.LabeledNumericUpDown.InitializeComponent();44.0;1.0;0;0.0;0.0;1;0;4.0;119.0
ShareX.HelpersLib.ToolStripCheckedBoldRenderer.ToolStripCheckedBoldRenderer();2.0;1.0;0;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ToolStripCheckedBoldRenderer.OnRenderItemText(ToolStripItemTextRenderEventArgs);3.0;3.0;1;1.0;1.0;0;0;1.0;135481.0
ShareX.HelpersLib.ToolStripButtonColorAnimation.ToolStripButtonColorAnimation();8.0;1.0;0;0.0;0.0;1;4;1.0;2.0
ShareX.HelpersLib.ToolStripButtonColorAnimation.StartAnimation();2.0;1.0;0;0.0;0.0;1;1;1.0;20.0
ShareX.HelpersLib.ToolStripButtonColorAnimation.StopAnimation();1.0;1.0;0;0.0;0.0;2;0;1.0;19.0
ShareX.HelpersLib.ToolStripButtonColorAnimation.ResetAnimation();2.0;1.0;0;0.0;0.0;0;2;1.0;0.0
ShareX.HelpersLib.ToolStripButtonColorAnimation.timer_Tick(Object,EventArgs);8.0;3.0;2;2.0;1.0;1;3;1.0;124291.0
ShareX.HelpersLib.ToolStripButtonColorAnimation.Dispose(Boolean);3.0;2.0;1;1.0;1.0;0;0;1.0;1.0
ShareX.HelpersLib.ToolStripDoubleLabeledNumericUpDown.ToolStripDoubleLabeledNumericUpDown(String,String);3.0;1.0;2;0.0;0.0;1;4;1.0;6.0
ShareX.HelpersLib.ToolStripLabeledNumericUpDown.ToolStripLabeledNumericUpDown(String);2.0;1.0;1;0.0;0.0;1;3;2.0;119.0
ShareX.HelpersLib.UpdatePanel.UpdatePanel();3.0;1.0;0;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.UpdatePanel.OnPaint(PaintEventArgs);13.0;1.0;1;8.0;2.0;0;1;2.0;0.0
ShareX.HelpersLib.UpdatePanel.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.UpdatePanel.InitializeComponent();26.0;1.0;0;0.0;0.0;1;1;2.0;0.0
