Method_Parsed;Previous_Method_Parsed;ChgLines
ShareX.HotkeySettingsForm.HotkeySettingsForm_FormClosed(Object,FormClosedEventArgs);ShareX.HotkeySettingsForm.HotkeySettingsForm_FormClosed(Object,FormClosedEventArgs);0
ShareX.HotkeySettingsForm.btnEdit_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnEdit_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.btnDuplicate_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnDuplicate_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.control_EditRequested(Object,EventArgs);ShareX.HotkeySettingsForm.control_EditRequested(Object,EventArgs);0
ShareX.HotkeySettingsForm.btnRemove_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnRemove_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.UpdateButtons();ShareX.HotkeySettingsForm.UpdateButtons();0
ShareX.HotkeySettingsForm.AddHotkeySelectionControl(HotkeySettings);ShareX.HotkeySettingsForm.AddHotkeySelectionControl(HotkeySettings);0
ShareX.HotkeySettingsForm.EditSelected();ShareX.HotkeySettingsForm.EditSelected();0
ShareX.HotkeySettingsForm.FindSelectionControl(HotkeySettings);ShareX.HotkeySettingsForm.FindSelectionControl(HotkeySettings);0
ShareX.HotkeySettingsForm.UpdateCheckStates();ShareX.HotkeySettingsForm.UpdateCheckStates();0
ShareX.HotkeySettingsForm.control_HotkeyChanged(Object,EventArgs);ShareX.HotkeySettingsForm.control_HotkeyChanged(Object,EventArgs);4
ShareX.HotkeySettingsForm.btnAdd_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnAdd_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.control_SelectedChanged(Object,EventArgs);ShareX.HotkeySettingsForm.control_SelectedChanged(Object,EventArgs);0
ShareX.HotkeySettingsForm.PrepareHotkeys(HotkeyManager);ShareX.HotkeySettingsForm.PrepareHotkeys(HotkeyManager);0
ShareX.HotkeySettingsForm.btnReset_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnReset_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.AddControls();ShareX.HotkeySettingsForm.AddControls();0
ShareX.HotkeySettingsForm.Edit(HotkeySelectionControl);ShareX.HotkeySettingsForm.Edit(HotkeySelectionControl);0
